[GEOGRAPHY] What US state is bordered by Colorado, Nebraska, Missouri, and Oklahoma?|Kansas
[GEOGRAPHY] In what US state would you find the Erie Canal?|New York
[GEOGRAPHY] In what city is the US Naval Academy located?|Annapolis
[GEOGRAPHY] n what US state is the Walden Pond made famous by Thoreau?|Massachusettes
[GEOGRAPHY] In what US state is Mt. Washington located?|New Hampshire
[GEOGRAPHY] What US National Park contains Yavapai Point?|Grand Canyon
[GEOGRAPHY] On what island is the volcano Diamond Head located?|Oahu
[GEOGRAPHY] In what state could you find the world's largest system of caves?|Kentucky
[GEOGRAPHY] What US military academy is located in Colorado Springs, CO?|US Air Force Academy
[GEOGRAPHY] In what city is the University of Notre Dame located?|South Bend, IN

[ART & LITERATURE] Who wrote The Deerslayer and Last of the Mohicans?|James Fenimore Cooper
[ART & LITERATURE] What modern artist created a stir with his portraits of soup cans?|Andy Warhol
[ART & LITERATURE] Who wrote the novel Shogun?|James Clavell
[ART & LITERATURE] Whose 1886 painting, A Sunday Afternoon on the Island of Grand Jatte, is an excellent example of the Pointillism?|Georges Seurat
[ART & LITERATURE] What was the nationality of the title character in Ernest Hemingway's book The Old Man and the Sea?|Cuban
[ART & LITERATURE] What French impressionist painter is famed for his pictures of ballet dancers?|Edgar Degas
[ART & LITERATURE] Whose novels of American life in the 1920's include Babbit, Main Street, and Elmer Gantry?|Sinclair Lewis
[ART & LITERATURE] What sculpture of the Virgin Mary holding and morning the dead body of Jesus was the only one Michelangelo ever signed?|La Pieta
[ART & LITERATURE] What novel about a young recruit's experiences in the US Civil War is American author Stephen Crane best known?|The Red Badge of Courage
[ART & LITERATURE] What English author and poet wrote Captains Courageous, Kim, and The Jungle Book?|Rudyard Kipling

[TWISTED CLICHES] Where there are visible vapors having their prevalence in ignited carbonaceous materials, there is conflagration.|Where there's smoke, there's fire.
[TWISTED CLICHES] A plethora of individuals with expertise in culinary techniques vitiate the consomme.|Too many cooks spoil the broth.
[TWISTED CLICHES] Eleemosynary deeds have their incipience intramurally.|Good deeds begin at home.
[TWISTED CLICHES] Individuals who make their abode in vitreous edifices would be advised to refrain from catapulting petrous projectiles.|Those who live in glass houses should not throw stones.
[TWISTED CLICHES] Neophyte's serendipity.|Beginner's Luck
[TWISTED CLICHES] A revolving lithic conglomerate accumulates no congeries of a small green bryophytic plant.|A rolling stone gathers no moss.
[TWISTED CLICHES] Sorting on the part of mendicants must be interdicted.|Beggars can't be choosers.
[TWISTED CLICHES] Freedom from incrustation of grime is contiguous to piety.|Cleanliness is next to Godliness.
[TWISTED CLICHES] It is fruitless to become lachrymose over precipitately departed lacteal fluid.|Don't cry over spilt milk.
[TWISTED CLICHES] Exclusive dedication to necessitous chores without interludes of hedonistic diversion renders Jack a hebetudinous lad.|All work and no play makes Jack a dull boy.

